FileName,label,specObjID,ra,dec,snMedian_g,class,subclass,resource,paper,type,cluster_name
spec-57443-KP062756N202946B01_sp09-250,BSS,431509250,98.36998,20.52237,13.08,STAR,A1,Lamost,rain_OC,OC,Berkeley_23
spec-55960-GAC_101N09_V1_sp10-104,BSS,37010104,98.93117,9.321707,29.5,STAR,A1,Lamost,Jadhav_OC,OC,Trumpler_5
spec-57358-HD063739N014841V01_sp04-044,BSS,385404044,99.273326,2.353711,173.35,STAR,B9,Lamost,Jadhav_OC,OC,Collinder_110
spec-55960-GAC_101N09_V1_sp10-004,BSS,37010004,99.29998,9.5681,46.03,STAR,A1,Lamost,rain_OC,OC,Trumpler_5
spec-55984-GAC_099N04_V3_sp01-221,BSS,44401221,99.49192,2.45823,8.32,STAR,A1,Lamost,rain_OC,OC,Collinder_110
spec-55960-GAC_101N09_V2_sp14-126,BSS,37114126,99.57998,10.905454,41.66,STAR,A2,Lamost,rain_OC,OC,NGC_2259
spec-55968-GAC_101N09_V3_sp14-148,BSS,40114148,99.63954,10.92201,24.46,STAR,A2,Lamost,rain_OC,OC,NGC_2259
spec-55976-GAC_099N04_V1_sp01-214,BSS,42801214,99.639709,2.276514,21.13,STAR,A1,Lamost,Jadhav_OC,OC,Collinder_110
spec-57358-HD063739N014841V01_sp04-101,BSS,385404101,99.749297,1.657866,65.49,STAR,A1,Lamost,Jadhav_OC,OC,Collinder_110
spec-57358-HD063739N014841V01_sp04-117,BSS,385404117,99.779986,1.558143,64.14,STAR,A1,Lamost,Jadhav_OC,OC,Collinder_110
spec-58515-GAC104N17M1_sp05-179,BSS,722505179,103.18155,16.949789,13.4,STAR,F0,Lamost,rain_OC,OC,Berkeley_29
spec-57460-HD065357N310719V01_sp05-023,BSS,438505023,103.793012,29.727749,73.08,STAR,F0,Lamost,Jadhav_OC,OC,FSR_0866
spec-57787-GAC103N06B1_sp12-135,BSS,528112135,104.32258,8.30677,61.52,STAR,A2,Lamost,rain_OC,OC,Berkeley_31
spec-57750-GAC103N06M1_sp12-145,BSS,501512145,104.403866,8.257082,9.16,STAR,A2,Lamost,Jadhav_OC,OC,Berkeley_31
spec-57787-GAC103N06B1_sp08-033,BSS,528108033,104.442881,6.52744,89.76,STAR,A5,Lamost,Jadhav_OC,OC,Berkeley_32
spec-56351-GAC108N13V3_sp08-048,BSS,128808048,109.277907,13.559785,39.73,STAR,A6,Lamost,Jadhav_OC,OC,NGC_2355
spec-56265-GAC111S00V3_sp10-215,BSS,88810215,110.070279,-1.024865,10.2,STAR,A2,Lamost,Jadhav_OC,OC,Berkeley_37
spec-57733-HD072545N042645B01_sp05-193,BSS,492405193,110.42246,3.54304,36.76,STAR,A5,Lamost,Jadhav_OC,OC,FSR_1083
spec-58524-HD071855N000445V02_sp08-119,BSS,724608119,110.468138,-0.994464,165.73,STAR,A1,Lamost,Jadhav_OC,OC,King_23
spec-57733-HD072545N042645B01_sp05-181,BSS,492405181,110.481714,3.499019,18.12,STAR,A5,Lamost,Jadhav_OC,OC,FSR_1083
spec-57733-HD072545N042645B01_sp05-182,BSS,492405182,110.483933,3.577162,53.71,STAR,A6,Lamost,Jadhav_OC,OC,FSR_1083
spec-59254-HD072545N042645B02_sp15-091,BSS,892015091,110.883742,5.374796,12.21,STAR,A5,Lamost,Jadhav_OC,OC,Berkeley_78
spec-57831-HD073807N381531V01_sp15-115,BSS,556615115,114.5402618,38.8322954,43.42,STAR,F5,Lamost,Dalessandro E_2008,GC,NGC_2419
spec-56350-GAC116N20V2_sp16-089,BSS,128116089,114.622354,21.575265,32.87,STAR,A6,Lamost,Jadhav_OC,OC,NGC_2420
spec-57360-HD085149N115338B01_sp04-176,BSS,386404176,132.698545,11.747614,224.32,STAR,F5,Lamost,Jadhav_OC,OC,NGC_2682
spec-59913-KII084656N120635V01_sp08-062,BSS,1059308062,132.860085,11.730749,166.66,STAR,A2,Lamost,Jadhav_OC,OC,NGC_2682
spec-57425-KP084656N120635V01_sp08-075,BSS,420908075,133.044716,11.734951,559.84,STAR,A2,Lamost,Jadhav_OC,OC,NGC_2682
spec-57394-HD131614N190306B02_sp05-245,BSS,401805245,198.249973,18.1568804,29.83,STAR,A6,Lamost,hb_GC,GC,NGC 5024
spec-57921-HD183104N043737V01_sp13-106,BSS,582013106,279.457324,5.503302,112.04,STAR,A1,Lamost,Jadhav_OC,OC,IC_4756
spec-58256-GACII292N36B1_sp16-211,BSS,664016211,290.249771,37.76757,54.93,STAR,F0,Lamost,Jadhav_OC,OC,NGC_6791
spec-58256-GACII292N36B1_sp16-220,BSS,664016220,290.293412,37.795104,29.13,STAR,F5,Lamost,Jadhav_OC,OC,NGC_6791
spec-56571-KP194918N413456V01_sp02-197,BSS,162202197,295.17497,40.363749,8.54,STAR,A1,Lamost,Jadhav_OC,OC,NGC_6819
spec-59729-GACII297N38B1_sp16-097,BSS,1016216097,295.228754,40.018818,28.86,STAR,F0,Lamost,Jadhav_OC,OC,NGC_6819
spec-59729-GACII297N38B1_sp16-095,BSS,1016216095,295.247398,39.959844,63.76,STAR,F0,Lamost,Jadhav_OC,OC,NGC_6819
spec-59729-GACII297N38B1_sp16-214,BSS,1016216214,295.365514,40.219995,60.9,STAR,F0,Lamost,Jadhav_OC,OC,NGC_6819
spec-59729-GACII297N38B1_sp16-188,BSS,1016216188,295.567052,40.303096,8.76,STAR,F0,Lamost,Jadhav_OC,OC,NGC_6819
spec-56945-HD203416N432139B01_sp10-231,BSS,253910231,306.4856,43.2434,67.15,STAR,A1,Lamost,lcy_OC,OC,CWNU_439
spec-56982-HD000408N565515V01_sp03-062,BSS,269503062,358.3688,57.13789,37.17,STAR,A5,Lamost,rain_OC,OC,NGC_7789
spec-2377-53991-0490,BSS,2676398835697294336,359.3765,56.74176,29.60329,STAR,A0,SDSS,Jadhav_OC,OC,NGC_7789
spec-2800-54326-0163,BSS,3152564616836520960,290.2246,37.70721,54.89362,STAR,F9,SDSS,rain_OC,OC,NGC_6791
spec-2800-54326-0200,BSS,3152574787319077888,290.1457,37.76453,64.42436,STAR,F5,SDSS,rain_OC,OC,NGC_6791
spec-2887-54521-0444,BSS,3250595152695237632,91.88001,24.08315,58.67589,STAR,A0,SDSS,rain_OC,OC,NGC_2158
spec-2887-54521-0449,BSS,3250596527084772352,91.85818,24.11143,63.10606,STAR,A0,SDSS,rain_OC,OC,NGC_2158
spec-2887-54521-0510,BSS,3250613294637095936,91.78309,24.07978,57.8471,STAR,A0,SDSS,rain_OC,OC,NGC_2158
spec-2887-54521-0512,BSS,3250613844392909824,91.84621,24.06579,71.28613,STAR,A0,SDSS,rain_OC,OC,NGC_2158
spec-2887-54521-0537,BSS,3250620716340583424,91.91869,24.11426,78.11253,STAR,A0p,SDSS,rain_OC,OC,NGC_2158
spec-0266-51630-0015,BSS,299493525735630848,146.9138,-0.644481,20.60501,STAR,A0,SDSS,Xxx,field,None
spec-0273-51957-0391,BSS,307478184662689792,156.8245,0.283374,36.26385,STAR,A0,SDSS,Xxx,field,None
spec-0273-51957-0456,BSS,307496051726641152,157.8058,0.790088,17.66583,STAR,A0,SDSS,Xxx,field,None
spec-0275-51910-0361,BSS,309721737350637568,160.9145,1.076257,19.47852,STAR,A0,SDSS,Xxx,field,None
spec-0277-51908-0397,BSS,311983432735418368,164.9605,0.36928,22.01362,STAR,A0,SDSS,Xxx,field,None
spec-0277-51908-0637,BSS,312049403433084928,166.5067,0.33428,24.6555,STAR,A0,SDSS,Xxx,field,None
spec-0281-51614-0398,BSS,316487302308194304,170.9671,0.574599,15.03934,STAR,A0,SDSS,Xxx,field,None
spec-0281-51614-0409,BSS,316490325965170688,171.7889,1.121122,10.71692,STAR,A0,SDSS,Xxx,field,None
spec-0282-51658-0088,BSS,317527990802081792,174.2043,-1.087516,56.91611,STAR,A0,SDSS,Xxx,field,None
spec-0285-51930-0125,BSS,320915865568569344,179.5811,-1.069756,11.57389,STAR,A0,SDSS,Xxx,field,None
spec-0288-52000-0207,BSS,324316106451871744,184.6059,-1.216351,44.04826,STAR,A0,SDSS,Xxx,field,None
spec-0290-51941-0284,BSS,326589070874535936,187.7151,-0.743653,19.53397,STAR,A0,SDSS,Xxx,field,None
spec-0291-51928-0443,BSS,327758676150478848,190.9101,1.219049,12.15406,STAR,A0,SDSS,Xxx,field,None
spec-0292-51609-0232,BSS,328826571467024384,191.9992,-0.082266,19.70115,STAR,A0,SDSS,Xxx,field,None
spec-0292-51609-0367,BSS,328863679984461824,192.0213,1.020428,39.66166,STAR,A0,SDSS,Xxx,field,None
spec-0292-51609-0377,BSS,328866428763531264,191.7575,0.840718,34.39459,STAR,A0,SDSS,Xxx,field,None
spec-0292-51609-0408,BSS,328874949978646528,192.2251,1.158114,35.19073,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0010,BSS,329891449820702720,195.3704,-1.113003,47.52197,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0023,BSS,329895023233492992,195.813,-0.363289,9.894619,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0103,BSS,329917013466048512,195.0799,-0.550115,8.22735,STAR,A0p,SDSS,Xxx,field,None
spec-0293-51689-0153,BSS,329930757361395712,194.6948,-0.172143,38.2505,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0195,BSS,329942302233487360,194.1401,-0.07906,14.66919,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0225,BSS,329950548570695680,194.0054,-0.465168,17.74629,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0361,BSS,329987931966040064,194.0109,1.096427,8.043637,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0374,BSS,329991505378830336,194.0467,0.780131,6.446625,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0397,BSS,329997827570690048,193.5746,0.626408,11.18133,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0403,BSS,329999476838131712,194.3479,1.067434,12.45707,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0478,BSS,330020092681152512,194.1532,0.710813,20.85099,STAR,A0,SDSS,Xxx,field,None
spec-0293-51689-0571,BSS,330045656326498304,195.243,1.228685,19.24615,STAR,A0,SDSS,Xxx,field,None
spec-0298-51955-0218,BSS,335578128422299648,203.4687,-0.789518,11.15859,STAR,A0,SDSS,Xxx,field,None
spec-0298-51955-0341,BSS,335611938404853760,202.4112,0.286928,8.555123,STAR,A0,SDSS,Xxx,field,None
spec-0298-51955-0488,BSS,335652345457174528,203.5917,0.510268,49.90087,STAR,A0,SDSS,Xxx,field,None
spec-0298-51955-0567,BSS,335674060811823104,204.1603,0.905226,8.762947,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0086,BSS,336667739680696320,205.5688,-1.126128,13.67154,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0213,BSS,336702649174878208,204.9968,-0.598378,30.75371,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0221,BSS,336704848198133760,204.6559,-0.672522,48.29715,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0226,BSS,336706222587668480,204.8886,-0.654757,12.92391,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0231,BSS,336707596977203200,204.8436,-0.281831,51.90462,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0302,BSS,336727113308596224,204.1146,-0.581662,25.76575,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0319,BSS,336731786233014272,204.3571,-0.187391,28.49544,STAR,A0,SDSS,Xxx,field,None
spec-0299-51671-0634,BSS,336818372773701632,206.5187,-0.140582,10.38329,STAR,A0,SDSS,Xxx,field,None
spec-0300-51943-0102,BSS,337798042197452800,207.6768,-0.334639,19.17404,STAR,A0,SDSS,Xxx,field,None
spec-0300-51943-0276,BSS,337845870953261056,206.3618,-0.298533,22.51225,STAR,A0,SDSS,Xxx,field,None
spec-0300-51943-0350,BSS,337866211918374912,205.9609,0.524622,14.21265,STAR,A0,SDSS,Xxx,field,None
spec-0300-51943-0394,BSS,337878306546280448,206.2374,0.363081,19.62492,STAR,A0,SDSS,Xxx,field,None
spec-0300-51943-0516,BSS,337911841650927616,207.4252,0.116701,28.06505,STAR,A0,SDSS,Xxx,field,None
spec-0301-51942-0593,BSS,339058907139827712,210.4719,0.090307,11.71385,STAR,A0,SDSS,Xxx,field,None
spec-0302-51688-0421,BSS,340137523785263104,211.5399,0.438646,32.83295,STAR,A0,SDSS,Xxx,field,None
spec-0302-51688-0424,BSS,340138348418983936,211.6479,0.179528,10.02757,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0085,BSS,345674663923312640,220.0674,-1.193494,8.447645,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0253,BSS,345720843411679232,219.1237,-0.755387,51.93628,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0262,BSS,345723317312841728,218.9586,-0.526665,11.84288,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0318,BSS,345738710475630592,218.3083,-0.218526,7.510486,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0343,BSS,345745582423304192,218.549,0.4215,30.22498,STAR,A0,SDSS,Xxx,field,None
spec-0307-51663-0465,BSS,345779117527951360,219.4994,0.647313,32.82877,STAR,A0,SDSS,Xxx,field,None
spec-0308-51662-0335,BSS,346869283290114048,220.8697,0.928756,8.21671,STAR,A0,SDSS,Xxx,field,None
spec-0309-51994-0124,BSS,347937189528627200,223.8003,-1.028583,10.17367,STAR,A0,SDSS,Xxx,field,None
spec-0310-51990-0098,BSS,349055942542780416,226.3228,-0.788832,32.28043,STAR,A0,SDSS,Xxx,field,None
spec-0310-51990-0206,BSS,349085629356730368,225.4738,-1.043248,27.71465,STAR,A0,SDSS,Xxx,field,None
spec-0310-51990-0250,BSS,349097723984635904,225.1346,-1.234682,36.32694,STAR,A0,SDSS,Xxx,field,None
spec-0326-52375-0058,BSS,367059352395212800,172.2332,-3.553933,21.23242,STAR,A0,SDSS,Xxx,field,None
spec-0326-52375-0060,BSS,367059902151026688,172.1763,-3.19519,40.0686,STAR,A0,SDSS,Xxx,field,None
spec-0326-52375-0131,BSS,367079418482419712,171.666,-3.233728,33.63076,STAR,A0,SDSS,Xxx,field,None
spec-0326-52375-0161,BSS,367087664819628032,171.8085,-2.517412,12.327,STAR,A0,SDSS,Xxx,field,None
spec-0326-52375-0241,BSS,367109655052183552,171.2775,-3.462085,5.299513,STAR,A0,SDSS,Xxx,field,None
spec-0327-52294-0477,BSS,368300424786110464,173.6696,-2.215545,42.07371,STAR,A0,SDSS,Xxx,field,None
spec-0328-52282-0215,BSS,369354306480007168,175.0393,-3.432288,22.18904,STAR,A0,SDSS,Xxx,field,None
spec-0329-52056-0109,BSS,370451065537062912,177.5476,-2.964414,34.41576,STAR,A0,SDSS,Xxx,field,None
spec-0330-52370-0573,BSS,371704514060773376,178.8982,-1.542802,16.86311,STAR,A0,SDSS,Xxx,field,None
spec-0331-52368-0316,BSS,372759770311976960,179.2146,-2.512031,9.123439,STAR,A0,SDSS,Xxx,field,None
spec-0331-52368-0550,BSS,372824091742201856,180.7932,-1.816242,34.68388,STAR,A0,SDSS,Xxx,field,None
spec-0332-52367-0517,BSS,373940920661338112,182.6546,-2.195532,29.99244,STAR,A0,SDSS,Xxx,field,None
spec-0332-52367-0555,BSS,373951366021801984,182.974,-2.322763,47.36578,STAR,A0p,SDSS,Xxx,field,None
spec-0334-51993-0215,BSS,376109701072447488,186.9158,-3.352474,10.0156,STAR,A0,SDSS,Xxx,field,None
spec-0334-51993-0435,BSS,376170174211975168,186.774,-2.493057,23.64822,STAR,A0,SDSS,Xxx,field,None
spec-0334-51993-0470,BSS,376179794938718208,186.972,-2.100878,14.25582,STAR,A0,SDSS,Xxx,field,None
spec-0334-51993-0625,BSS,376222401014294528,188.0381,-2.055109,12.1288,STAR,A0,SDSS,Xxx,field,None
spec-0335-52000-0435,BSS,377296074236258304,189.1337,-1.856037,11.72547,STAR,A0,SDSS,Xxx,field,None
spec-0335-52000-0480,BSS,377308443742070784,189.3618,-1.842343,26.69605,STAR,A0,SDSS,Xxx,field,None
spec-0337-51997-0139,BSS,379466510139156480,193.0153,-3.179693,18.48684,STAR,A0,SDSS,Xxx,field,None
spec-0337-51997-0440,BSS,379549248389146624,192.6725,-2.33083,23.66284,STAR,A0,SDSS,Xxx,field,None
spec-0337-51997-0520,BSS,379571238621702144,193.2246,-2.042181,31.61291,STAR,A0,SDSS,Xxx,field,None
spec-0338-51694-0561,BSS,380708403439233024,194.8699,-1.562046,13.1116,STAR,A0,SDSS,Xxx,field,None
spec-0339-51692-0310,BSS,381765308957878272,195.4019,-2.766148,17.87514,STAR,A0,SDSS,Xxx,field,None
spec-0339-51692-0325,BSS,381769432126482432,195.6312,-1.367404,31.99206,STAR,A0,SDSS,Xxx,field,None
spec-0339-51692-0534,BSS,381826881609033728,196.5934,-1.305215,28.06095,STAR,A0,SDSS,Xxx,field,None
spec-0340-51990-0057,BSS,382821669753874432,198.6523,-2.968887,24.60509,STAR,A0,SDSS,Xxx,field,None
spec-0340-51990-0216,BSS,382865375341078528,198.1468,-3.180341,36.50435,STAR,A0,SDSS,Xxx,field,None
spec-0340-51990-0418,BSS,382920900678281216,197.8415,-1.39006,53.23326,STAR,A0,SDSS,Xxx,field,None
spec-0340-51990-0477,BSS,382937118474790912,197.9892,-1.887445,14.57197,STAR,A0,SDSS,Xxx,field,None
spec-0340-51990-0488,BSS,382940142131767296,198.0796,-1.585415,16.03306,STAR,A0,SDSS,Xxx,field,None
spec-0341-51690-0033,BSS,383940967557785600,201.0867,-2.84386,19.00351,STAR,A0,SDSS,Xxx,field,None
spec-0342-51691-0436,BSS,385177643277903872,236.2958,0.585483,9.835662,STAR,A0,SDSS,Xxx,field,None
spec-0342-51691-0482,BSS,385190287661623296,236.8558,0.420195,32.98368,STAR,A0,SDSS,Xxx,field,None
spec-0342-51691-0520,BSS,385200733022087168,237.2629,0.324914,23.42082,STAR,A0,SDSS,Xxx,field,None
spec-0343-51692-0147,BSS,386224103486416896,239.408,-0.509957,54.28064,STAR,A0,SDSS,Xxx,field,None
spec-0343-51692-0434,BSS,386302993445709824,238.4684,0.503339,28.65249,STAR,A0,SDSS,Xxx,field,None
spec-0346-51693-0075,BSS,389582012014422016,245.4411,-0.239205,17.06216,STAR,A0,SDSS,Xxx,field,None
spec-0348-51671-0498,BSS,391950084813645824,248.7695,0.21201,39.95715,STAR,A0,SDSS,Xxx,field,None
spec-0348-51671-0635,BSS,391987743086897152,249.9554,0.070253,23.36747,STAR,A0,SDSS,Xxx,field,None
spec-0350-51691-0555,BSS,394217553003571200,259.9691,64.95993,41.94381,STAR,A0,SDSS,Xxx,field,None
spec-0354-51792-0144,BSS,398608179505686528,261.9248,60.15814,10.37048,STAR,A0,SDSS,Xxx,field,None
spec-0354-51792-0451,BSS,398692567023118336,261.2498,61.43089,29.26297,STAR,A0,SDSS,Xxx,field,None
spec-0354-51792-0532,BSS,398714832133580800,261.7689,62.26487,43.06749,STAR,A0,SDSS,Xxx,field,None
spec-0358-51818-0533,BSS,403218707075065856,263.9181,57.32939,50.37262,STAR,A0,SDSS,Xxx,field,None
spec-0362-51999-0047,BSS,407588719076337664,265.4069,53.66292,13.87261,STAR,A0,SDSS,Xxx,field,None
spec-0362-51999-0461,BSS,407702518529812480,263.5275,55.1059,21.86331,STAR,A0,SDSS,Xxx,field,None
spec-0366-52017-0046,BSS,412092044127791104,263.5105,57.78887,35.89176,STAR,A0,SDSS,Xxx,field,None
spec-0366-52017-0132,BSS,412115683627788288,262.2268,58.10371,43.67554,STAR,A0,SDSS,Xxx,field,None
spec-0366-52017-0301,BSS,412162137994061824,260.2339,58.5363,44.09718,STAR,A0,SDSS,Xxx,field,None
spec-0367-51997-0180,BSS,413254777338619904,260.7841,55.34703,9.751903,STAR,A0,SDSS,Xxx,field,None
spec-0367-51997-0605,BSS,413371600449071104,261.3646,56.56341,23.0708,STAR,A0,SDSS,Xxx,field,None
spec-0371-52078-0065,BSS,417726767365646336,328.9701,-0.291926,55.87748,STAR,A0,SDSS,Xxx,field,None
spec-0371-52078-0071,BSS,417728416633088000,328.744,-0.53813,12.67697,STAR,A0,SDSS,Xxx,field,None
spec-0371-52078-0431,BSS,417827372679587840,327.3647,0.012261,10.16836,STAR,A0,SDSS,Xxx,field,None
spec-0371-52078-0476,BSS,417839742185400320,327.6204,0.387444,12.14748,STAR,A0,SDSS,Xxx,field,None
spec-0371-52078-0533,BSS,417855410226096128,328.335,0.779032,13.64112,STAR,A0,SDSS,Xxx,field,None
spec-0372-52173-0418,BSS,418949700767475712,329.5326,0.889202,40.44092,STAR,A0,SDSS,Xxx,field,None
spec-0372-52173-0462,BSS,418961795395381248,329.5969,0.561758,11.02004,STAR,A0,SDSS,Xxx,field,None
spec-0373-51788-0212,BSS,420018969366259712,331.4816,-0.948811,8.545255,STAR,A0,SDSS,Xxx,field,None
spec-0374-51791-0585,BSS,421247398782724096,334.7838,0.543294,16.62062,STAR,A0,SDSS,Xxx,field,None
spec-0375-52140-0317,BSS,422299637265754112,334.465,-0.399694,13.29912,STAR,A0,SDSS,Xxx,field,None
spec-0380-51792-0229,BSS,427904941705684992,344.8152,-0.331826,11.72552,STAR,A0,SDSS,Xxx,field,None
spec-0381-51811-0002,BSS,428968444646418432,348.4937,-0.846343,14.38602,STAR,A0,SDSS,Xxx,field,None
